AttackCount,Organisation
1,United Party for National Development (UPND)
1,Turkish Marxist Workers Party
1,Cell for Internationalism
1,Militant Forces Against Huntingdon
1,Ukrainian Liberation Front
1,Independent Albanian Movement
1,Thomas Muenzer Wild Band
1,Group for a Strong Revolutionary Movement
1,Hoodie Wearers
1,Friends of Loukanikos
1,Yazidi extremists
1,Free Network South (Freies Netz Sued)
1,The Third Way (Der III. Weg)
1,Bahoz
1,Conspiracy of Vengeful Arsonists
1,Action Cell Haukur Hilmarsson
1,Vulkangruppe NetzHerrschaft zerreissen
1,Katsina Muslim Society
1,Civilian Joint Task Force (JTF)
1,Revenge Movement
1,Falanga
1,CSS Movement
1,Armed Subversives
1,"Aghwar ""Fire War"" Group"
1,Anti-Bhutto demonstrators
1,Al-Jihad (Pakistan)
1,Supporters of ret. Gen. Lino Oviedo
1,Supporters of General Lino Oviedo
1,Commandos for the Defense of Western Civilization
1,Hungarian exile
1,National Revolutionary Front
1,Young Liberators of Pattani
1,Fatoni Warriors
1,Patriotic Command San Jose
1,Pacific Popular Front
1,Roque Dalton Commando
1,Robin Garcia Student Front
1,Vietnamese Detainees
1,People's Sovereignty Party (PDR)
1,Swaziland Youth Congress (Swayoco)
1,People's United Democratic Movement (PUDEMO)
1,Yekbun
1,Militant Moslem Pilgrims
1,Union Parishad
1,22 May 1948
1,Left wing activists
1,Commander Gonzalo Southern Group
1,Action Front Nationalist Librium
1,Maori
1,Angels
1,Do-or-Die Corps for the Abolition of Anti-Public Taxation Systems
1,Chonson Univ. students
1,Kyongbuk University Dental College Students
1,Anti-Park extremists
1,Agwelek Forces
1,Peykar
1,Youth for Revolution
1,Ses'khona Peoples' Rights Movement
1,Independence Advocates
1,Stop the War Coalition
1,White Panther Party
1,Action Squad
1,Revolutionary Communist Youth Brigade (RCYB)
1,Imperial Iranian Patriotic Organization
1,People's Brigade For A Healthy Genetic Future
1,Jewish Defenders
1,Black Brigade (United States)
1,Armed Commandos of Student Self Defense
1,El Movimiento Revolucionario Independinista
1,Earth Night Action Group
1,Mexican Revolutionary Movement
1,Fourth Reich Skinheads
1,Sons of the Gestapo
1,Revenge of the Trees
1,Students For Insurrection
1,Citizens for Constitutional Freedom
1,Court Reform extremists
1,Anti-Arab extremists
1,Proletarian Solidarity
1,Militant Welsh
1,Welsh nationalists
1,Provisional RSPCA
1,English Defense League (EDL)
1,Angry Foxes Cell
1,Random Anarchists
1,St Patrick's Survivors group
1,Revolutionary Flames
1,RVA
1,Anti-AF
1,MLA
1,Fedayeen of the Imperial Iranian Monarchy
1,Anarchio Scene
1,Lehava
1,Supporters of Ernest Wamba dia Wamba
1,Rebel Socialists
1,Allende Lives Commando
1,Patriotic Youth Movement of the Gabonese Defence and Security Forces
1,Revolutionary Communist Centre (RCC)
1,Confederation of Iranian Students/National Union (CISNU)
1,Communist Attack Units
1,Taihikai (Great Sadness)
1,Opponents of disabled people
1,Free Joseon
1,Armenian Revolutionary Army
1,Mexican Students
1,Budget for the Popular Prep or Death
1,Shamil Group
1,Sasna Tsrer
1,Extreme Right-wing Socialist Phalange
1,Ruminahui Front
1,Democratic Iraqi Opposition of Germany
1,Salah al-Din Squad
1,Unified Workers Command
1,Policarpa Salauarpieta (Women's Command)
1,Suriname Liberation Front
1,People's Military Organization (OMP)
1,Movement for Dignity and Soverignty
1,Student Militants
1,February 27 Revolutionary Armed Forces
1,Depositers angered
1,Tajik Rebels
1,Polish Revolutionary Home Army
1,Lebanese Man
1,United Constitutional Patriots
